Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3Cbh1EJ6OYAPkkNRuTIz6T,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:0MHXrqn909p0LRTPsNsGEi,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:4c6vZqYHFur11FbWATIJ9P,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:4CRpOsjhvgxjF7rQufmyZ1,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:5qGwqO0lkbBXw4xNfzT7SF,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6IZWJhXyk1Z0rtWNxIi4o7,7a4382ab088949ae8b01266fd14b56a5,2024-11-17T12:19:09Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,-1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2G2YzndIA6jeWFPBXhUjh5,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2qSkIjg1o9h3YT9RAgYN75,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,-1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:4c6vZqYHFur11FbWATIJ9P,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:4CRpOsjhvgxjF7rQufmyZ1,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6FwkZ5lYdCUh1mzI1Bhojn,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6IZWJhXyk1Z0rtWNxIi4o7,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6PgVDY8GTkxF3GmhVGPzoB,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:7G5xEOORkAAUhx6wjTRb26,6696705e800547579fc29e200041985c,2024-11-17T15:25:22Z,2,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:0cGG2EouYCEEC3xfa0tDFV,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:0MHXrqn909p0LRTPsNsGEi,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,-1,Would give all downvoting to Taylor if i could. ,89e1c13b053a43eebd03a5ef6d056367
spotify:track:1swmf4hFMJYRNA8Rq9PVaW,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,-1,Downvoting cos theres at least 3 better Beatles songs that fit this category ,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2DrGEaqoruCSn0FffWCf5O,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2G2YzndIA6jeWFPBXhUjh5,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2qSkIjg1o9h3YT9RAgYN75,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,A modern classic 👌🏻,89e1c13b053a43eebd03a5ef6d056367
spotify:track:2SpEHTbUuebeLkgs9QB7Ue,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:52HAHV1j93s5B8GoTNI7DJ,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,2,My Grandad’s karaoke song ❤️,89e1c13b053a43eebd03a5ef6d056367
spotify:track:5oV1YjM2rtyZ55txHHsFUu,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6CdR5Zu0bpP03XjpNycbaa,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,0,If i had more points…,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6IZWJhXyk1Z0rtWNxIi4o7,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,1,,89e1c13b053a43eebd03a5ef6d056367
spotify:track:6xdLJrVj4vIXwhuG8TMopk,c8ec131f45ee4bba96860b40fc378d80,2024-11-17T16:08:54Z,0,Money on Maff downvoting this,89e1c13b053a43eebd03a5ef6d056367
spotify:track:0MHXrqn909p0LRTPsNsGEi,9542d42ff7d24c4aa3c9721752a46e9d,2024-11-17T16:48:43Z,1,A bop ,89e1c13b053a43eebd03a5ef6d056367
