ID,Created,Name,Description,Playlist URL
9e4937ef830f437a93c97742e66a9acd,2025-09-18T13:44:21Z,"Pick a Song, Any Song!",Introduce yourself to Season 3 by picking whatever the fuck you want.,https://open.spotify.com/playlist/6oA9pPzZdXKEmvOWV2aZvs
0011fab5446543a1bc8ab5e6bf6f2aed,2025-09-18T13:49:40Z,First Time,"What was your first concert? Submit a song by that artist, from that night!",https://open.spotify.com/playlist/5hUqESLOfgbt4APs5QaWLd
ed871079b5314d648e232a16f9fc8d5e,2025-09-18T13:51:58Z,The Source,A song that has been sampled in another track. Submit the original tune please.,https://open.spotify.com/playlist/7v0muNstEeT2Js59Rbo9K6
0f7625dd8797409e9bb43b2e04dc5936,2025-09-18T13:53:27Z,Oh Canada!,A song by a Canadian band or artist.,https://open.spotify.com/playlist/6OM03kD2mXKYN9TkDlZaPz
